序位	詞彙	詞頻	百萬詞頻	常用詞標V
3000002	珉周嘎豆	1	0.001	
3000003	正珉周嘎豆	1	0.001	
3000004	玟周嘎豆	1	0.001	
3000005	金泯周	1	0.001	
3000006	謝娜波羅波羅蜜	1	0.001	
3000007	謝真的	1	0.001	
3000008	波羅波蘿蜜	1	0.001	
3000009	行幹	1	0.001	
3000010	大奶門	1	0.001	
3000011	大小正	1	0.001	
3000012	霸凌人版	1	0.001	
3000013	土屋美櫻	1	0.001	
3000014	轟音黃	1	0.001	
3000015	消火火	1	0.001	
3000016	婦宣隊	1	0.001	
3000017	元大圈	1	0.001	
3000018	神威眼	1	0.001	
3000019	女星級	1	0.001	
3000020	馬傑襄	1	0.001	
3000021	瘦紗夏	1	0.001	
3000022	相門	1	0.001	
3000023	寫真奶	1	0.001	
3000024	扌隹奶	1	0.001	
3000025	女乃子王	1	0.001	
3000026	丞相卒	1	0.001	
3000027	解放照	1	0.001	
3000028	阿深藏	1	0.001	
3000029	甘帥	1	0.001	
3000030	石川淩	1	0.001	
3000031	阿曼達露奶	1	0.001	
3000032	好美樓	1	0.001	
3000033	小寒曉涵	1	0.001	
3000034	伊藤美雪	1	0.001	
3000035	吉木艮	1	0.001	
3000036	雪茄婆	1	0.001	
3000037	超頂界	1	0.001	
3000038	中國象	1	0.001	
3000039	野瑜	1	0.001	
3000040	健美尻	1	0.001	
3000041	太葡	1	0.001	
3000042	普又黑	1	0.001	
3000043	曹假奶	1	0.001	
3000044	茶腳	1	0.001	
3000045	伊莉沙白歐森	1	0.001	
3000046	處男墊	1	0.001	
3000047	高臉	1	0.001	
3000048	老女文	1	0.001	
3000049	超正社	1	0.001	
3000050	爆立花里子	1	0.001	
3000051	呦衣	1	0.001	
3000052	開門生	1	0.001	
3000053	大鐵木	1	0.001	
3000054	馬波神	1	0.001	
3000055	讚不得	1	0.001	
3000056	雪白乳	1	0.001	
3000057	敗灰	1	0.001	
3000058	噠推	1	0.001	
3000059	扁奶塑	1	0.001	
3000060	萌音勾錐	1	0.001	
3000061	大河北	1	0.001	
3000062	卜櫻界	1	0.001	
3000063	楊懷樂界	1	0.001	
3000064	鄭懷樂	1	0.001	
3000065	崩卜櫻	1	0.001	
3000066	推様	1	0.001	
3000067	竿門	1	0.001	
3000068	附門手	1	0.001	
3000069	大壯壯	1	0.001	
3000070	扛板子	1	0.001	
3000071	宮讀生	1	0.001	
3000072	偏邪門	1	0.001	
3000073	柳嚴	1	0.001	
3000074	賈求門	1	0.001	
3000075	韓國人圖	1	0.001	
3000076	盜母	1	0.001	
3000077	豪乳球	1	0.001	
3000078	濠洨乳	1	0.001	
3000079	豪洨乳	1	0.001	
3000080	正仙	1	0.001	
3000081	均白	1	0.001	
3000082	雙眼袋	1	0.001	
3000083	忽小香	1	0.001	
3000084	軍官寢	1	0.001	
3000085	軍官階	1	0.001	
3000086	末將願	1	0.001	
3000087	雷拉推	1	0.001	
3000088	薔薔維	1	0.001	
3000089	隆真	1	0.001	
3000090	敏磯	1	0.001	
3000091	曹堅	1	0.001	
3000092	慘草	1	0.001	
3000093	噁飯糰	1	0.001	
3000094	曹家軍卡	1	0.001	
3000095	芯值	1	0.001	
3000096	耐衝擊性	1	0.001	
3000097	大將生	1	0.001	
3000098	恩木曜	1	0.001	
3000099	嬸級	1	0.001	
3000100	張小真	1	0.001	
3000101	內惠仁	1	0.001	
3000102	蛋妞	1	0.001	
3000103	陽光蛋	1	0.001	
3000104	袁智慧	1	0.001	
3000105	抖着	1	0.001	
3000106	抖像	1	0.001	
3000107	啦啦之	1	0.001	
3000108	路雨希	1	0.001	
3000109	喵版團	1	0.001	
3000110	演藝團	1	0.001	
3000111	曹子桓	1	0.001	
3000112	元人妻	1	0.001	
3000113	曹申	1	0.001	
3000114	川河合	1	0.001	
3000115	卿姐	1	0.001	
3000116	左妍霓	1	0.001	
3000117	中山樵坑	1	0.001	
3000118	沙浪史	1	0.001	
3000119	關關一生	1	0.001	
3000120	普普福	1	0.001	
3000121	歐浩浩	1	0.001	
3000122	媚采源	1	0.001	
3000123	阿老采寶	1	0.001	
3000124	采豹	1	0.001	
3000125	曼曼顏	1	0.001	
3000126	王韻喬	1	0.001	
3000127	郭語妍	1	0.001	
3000128	全婆團	1	0.001	
3000129	推心美人	1	0.001	
3000130	中肯包	1	0.001	
3000131	拿針桌	1	0.001	
3000132	分燮	1	0.001	
3000133	護士樓	1	0.001	
3000134	婆菌	1	0.001	
3000135	優色色	1	0.001	
3000136	布懶妮	1	0.001	
3000137	高紅安美讚	1	0.001	
3000138	神木立	1	0.001	
3000139	樂家軍	1	0.001	
3000140	真香浩浩	1	0.001	
3000141	眼卿	1	0.001	
3000142	乃門	1	0.001	
3000143	胸貼業	1	0.001	
3000144	馬叮噹	1	0.001	
3000145	換娶	1	0.001	
3000146	王墨綾子	1	0.001	
3000147	寧紅	1	0.001	
3000148	黃夭壽	1	0.001	
3000149	羅風影	1	0.001	
3000150	亞衣粉	1	0.001	
3000151	跆拳蒿	1	0.001	
3000152	彥妘	1	0.001	
3000153	紹敏	1	0.001	
3000154	曹寧	1	0.001	
3000155	眼芽	1	0.001	
3000156	銀河蜜	1	0.001	
3000157	老銀寶	1	0.001	
3000158	河世	1	0.001	
3000159	匯起來	1	0.001	
3000160	隱乳欸	1	0.001	
3000161	曹曹熊	1	0.001	
3000162	鉀麵	1	0.001	
3000163	豆爾傳	1	0.001	
3000164	三炮哥	1	0.001	
3000165	愛季	1	0.001	
3000166	曹超卡	1	0.001	
3000167	剌青卡	1	0.001	
3000168	丞相臣	1	0.001	
3000169	停兵	1	0.001	
3000170	牙膏台	1	0.001	
3000171	曹稟	1	0.001	
3000172	曹豪	1	0.001	
3000173	宮廟雞	1	0.001	
3000174	不屑出擊	1	0.001	
3000175	且容	1	0.001	
3000176	青州兵無馬	1	0.001	
3000177	青羌軍	1	0.001	
3000178	門曹	1	0.001	
3000179	修肥婆	1	0.001	
3000180	曹魏帝	1	0.001	
3000181	豐腴版	1	0.001	
3000182	曹雷影岩	1	0.001	
3000183	呼叫錯	1	0.001	
3000184	光頭森	1	0.001	
3000185	發號施令曹	1	0.001	
3000186	集合值	1	0.001	
3000187	雷影包	1	0.001	
3000188	凌敵	1	0.001	
3000189	江朗才	1	0.001	
3000190	曹大大	1	0.001	
3000191	分開門	1	0.001	
3000192	召喚庫	1	0.001	
3000193	曹正	1	0.001	
3000194	不正大	1	0.001	
3000195	仄陋	1	0.001	
3000196	整形集	1	0.001	
3000197	優普	1	0.001	
3000198	斗內孝子	1	0.001	
3000199	張翰元	1	0.001	
3000200	曹夜色	1	0.001	
3000201	子脩	1	0.001	
3000202	辱婦	1	0.001	
3000203	勒魏軍	1	0.001	
3000204	微下垂	1	0.001	
3000205	正人文	1	0.001	
3000206	曹奇才	1	0.001	
3000207	曹拿	1	0.001	
3000208	曹軍板	1	0.001	
3000209	有錢人幣	1	0.001	
3000210	滾添共	1	0.001	
3000211	滾滾幫	1	0.001	
3000212	美醜死	1	0.001	
3000213	鮑鯊	1	0.001	
3000214	曹匈奴	1	0.001	
3000215	双峯	1	0.001	
3000216	容臣	1	0.001	
3000217	頂挖賽	1	0.001	
3000218	曹家軍學	1	0.001	
3000219	曹烏巢	1	0.001	
3000220	玄武池	1	0.001	
3000221	詩惠	1	0.001	
3000222	香健康美	1	0.001	
3000223	疑球	1	0.001	
3000224	小全智賢	1	0.001	
3000225	孫伯符	1	0.001	
3000226	大奶給	1	0.001	
3000227	曹魏國	1	0.001	
3000228	普有奶	1	0.001	
3000229	老悅寶	1	0.001	
3000230	曹軍師	1	0.001	
3000231	周承恩	1	0.001	
3000232	總攻殺	1	0.001	
3000233	小空奶	1	0.001	
3000234	阿斯阿斯阿斯阿斯門	1	0.001	
3000235	曹讚德	1	0.001	
3000236	曹子桓好正	1	0.001	
3000237	阿曹式	1	0.001	
3000238	香陰	1	0.001	
3000239	曹蒂	1	0.001	
3000240	逶國	1	0.001	
3000241	彭苡恩	1	0.001	
3000242	唯鄔唯鄔	1	0.001	
3000243	鄔鄔鄔	1	0.001	
3000244	婆肘哥	1	0.001	
3000245	張石頭	1	0.001	
3000246	香隆	1	0.001	
3000247	愛麗莎莎騷	1	0.001	
3000248	異味觀	1	0.001	
3000249	巴西咖撐	1	0.001	
3000250	北川黑	1	0.001	
3000251	肥川景子	1	0.001	
3000252	妖婦感	1	0.001	
3000253	勒胖	1	0.001	
3000254	豚形	1	0.001	
3000255	金川億	1	0.001	
3000256	夭奶	1	0.001	
3000257	米粉帥	1	0.001	
3000258	隆胸版	1	0.001	
3000259	花狩普	1	0.001	
3000260	母湯香	1	0.001	
3000261	台北路人	1	0.001	
3000262	菊奈	1	0.001	
3000263	曹休兵	1	0.001	
3000264	咖撐照	1	0.001	
3000265	又人妻	1	0.001	
3000266	韋小昂	1	0.001	
3000267	正新有菲	1	0.001	
3000268	秉臣相	1	0.001	
3000269	尹天雪	1	0.001	
3000270	蛤龍兒	1	0.001	
3000271	曹家军	1	0.001	
3000272	及樓	1	0.001	
3000273	圖岬奈奈美	1	0.001	
3000274	底梁	1	0.001	
3000275	梁家軍	1	0.001	
3000276	梁太	1	0.001	
3000277	秋敏荷	1	0.001	
3000278	內傳裡	1	0.001	
3000279	秋秋美珠	1	0.001	
3000280	蠻仙	1	0.001	
3000281	曹矽膠	1	0.001	
3000282	軍報到	1	0.001	
3000283	頂稟	1	0.001	
3000284	報末	1	0.001	
3000285	駱駝妹	1	0.001	
3000286	濾鏡族	1	0.001	
3000287	身臉	1	0.001	
3000288	智浪行	1	0.001	
3000289	斗娜婆	1	0.001	
3000290	小奶小	1	0.001	
3000291	映粉	1	0.001	
3000292	噴塑人	1	0.001	
3000293	歐醫美	1	0.001	
3000294	曹凹	1	0.001	
3000295	大魏軍	1	0.001	
3000296	林樺樺	1	0.001	
3000297	曹推	1	0.001	
3000298	敵休	1	0.001	
3000299	讚屁	1	0.001	
3000300	子女乃	1	0.001	
3000301	美頂	1	0.001	
3000302	村村希島	1	0.001	
3000303	希島藤森	1	0.001	
3000304	曹曹順	1	0.001	
3000305	火鴿	1	0.001	
3000306	曹跟	1	0.001	
3000307	闊無活	1	0.001	
3000308	集結号	1	0.001	
3000309	砍垂	1	0.001	
3000310	塑男	1	0.001	
3000311	歐陽壽牌	1	0.001	
3000312	紗佳醬	1	0.001	
3000313	正正正香	1	0.001	
3000314	玩水趴	1	0.001	
3000315	超頂邦	1	0.001	
3000316	曹查里	1	0.001	
3000317	扎巴眼	1	0.001	
3000318	速欶	1	0.001	
3000319	門腿	1	0.001	
3000320	大頭手牌	1	0.001	
3000321	拳擊手腰	1	0.001	
3000322	奎丁奎丁	1	0.001	
3000323	李皓貞	1	0.001	
3000324	戶外展	1	0.001	
3000325	門列	1	0.001	
3000326	臥蟾	1	0.001	
3000327	欣潔	1	0.001	
3000328	美花妹	1	0.001	
3000329	班長剋	1	0.001	
3000330	金奈屯	1	0.001	
3000331	底讚	1	0.001	
3000332	力慈	1	0.001	
3000333	門肉魚	1	0.001	
3000334	貼開門	1	0.001	
3000335	曹奶	1	0.001	
3000336	嗚哇哇員	1	0.001	
3000337	羽咲超正	1	0.001	
3000338	倭略遜	1	0.001	
3000339	姥姆	1	0.001	
3000340	孟德軍	1	0.001	
3000341	姚采辰門	1	0.001	
3000342	欽槽	1	0.001	
3000343	深周公	1	0.001	
3000344	雲長關	1	0.001	
3000345	落陰菁考	1	0.001	
3000346	拔罐姨	1	0.001	
3000347	圖勒幹掰	1	0.001	
3000348	天木香	1	0.001	
3000349	水土櫻	1	0.001	
3000350	七澤明里	1	0.001	
3000351	阿綢	1	0.001	
3000352	水朴	1	0.001	
3000353	水卜圖	1	0.001	
3000354	清心糖	1	0.001	
3000355	吸盤算	1	0.001	
3000356	保安門	1	0.001	
3000357	安柏派	1	0.001	
3000358	馬霸主	1	0.001	
3000359	顏容	1	0.001	
3000360	解唱歌	1	0.001	
3000361	韓國白	1	0.001	
3000362	阿斯權恩妃	1	0.001	
3000363	大物蛤	1	0.001	
3000364	李海璐	1	0.001	
3000365	項潔如	1	0.001	
3000366	包皮帶	1	0.001	
3000367	李呵映	1	0.001	
3000368	石灰牆	1	0.001	
3000369	何語玟	1	0.001	
3000370	犭瓜自大	1	0.001	
3000371	鵝樂	1	0.001	
3000372	參上曹	1	0.001	
3000373	四角龍	1	0.001	
3000374	阿臥蠶	1	0.001	
3000375	張智孝	1	0.001	
3000376	前乃菜菜	1	0.001	
3000377	可巴鈺	1	0.001	
3000378	居交出來	1	0.001	
3000379	謝沂門	1	0.001	
3000380	惡魔旅	1	0.001	
3000381	柯姿	1	0.001	
3000382	以色大	1	0.001	
3000383	蘇勇	1	0.001	
3000384	死魚感	1	0.001	
3000385	整容師	1	0.001	
3000386	逆流液	1	0.001	
3000387	大吉賜	1	0.001	
3000388	濕紙雞	1	0.001	
3000389	逆流樓	1	0.001	
3000390	徳江	1	0.001	
3000391	真欽	1	0.001	
3000392	播出機	1	0.001	
3000393	安公関	1	0.001	
3000394	虹安版	1	0.001	
3000395	泰無尊	1	0.001	
3000396	兩模兩樣	1	0.001	
3000397	吉澤明	1	0.001	
3000398	宗親板	1	0.001	
3000399	補血棒	1	0.001	
3000400	火團森	1	0.001	
3000401	培鈔	1	0.001	
3000402	正騷度	1	0.001	
3000403	東歐風	1	0.001	
3000404	夏宋	1	0.001	
3000405	花爪寶	1	0.001	
3000406	丹丹秀秀	1	0.001	
3000407	楚知嫣	1	0.001	
3000408	陳伊梓梓	1	0.001	
3000409	門正	1	0.001	
3000410	丁力騏	1	0.001	
3000411	超頂奶	1	0.001	
3000412	伊莎貝阿佳妮	1	0.001	
3000413	伊娃格林	1	0.001	
3000414	曹遠征	1	0.001	
3000415	曹爺	1	0.001	
3000416	收扶	1	0.001	
3000417	曹求	1	0.001	
3000418	曼黛	1	0.001	
3000419	奶燒	1	0.001	
3000420	人塑人	1	0.001	
3000421	高鐵妹	1	0.001	
3000422	太碗公	1	0.001	
3000423	塑滾	1	0.001	
3000424	塑王	1	0.001	
3000425	怪物婆	1	0.001	
3000426	大張天志	1	0.001	
3000427	姬咲花	1	0.001	
3000428	青筋奶推	1	0.001	
3000429	傳命	1	0.001	
3000430	三金釵	1	0.001	
3000431	末條八	1	0.001	
3000432	味團	1	0.001	
3000433	瑟一生	1	0.001	
3000434	苔志	1	0.001	
3000435	舌苔冠	1	0.001	
3000436	謝哥老	1	0.001	
3000437	敷習	1	0.001	
3000438	樟柏汁	1	0.001	
3000439	還姊	1	0.001	
3000440	內田枕禮	1	0.001	
3000441	推慈	1	0.001	
3000442	滾頂	1	0.001	
3000443	孟哲樓	1	0.001	
3000444	誒正	1	0.001	
3000445	依辰	1	0.001	
3000446	裴斗娜耶	1	0.001	
3000447	勒基因	1	0.001	
3000448	奈感	1	0.001	
3000449	金金城武	1	0.001	
3000450	金城連	1	0.001	
3000451	祝福武	1	0.001	
3000452	采金	1	0.001	
3000453	打麼	1	0.001	
3000454	勝利帥	1	0.001	
3000455	塑變	1	0.001	
3000456	央幹	1	0.001	
3000457	嗯普	1	0.001	
3000458	水城奈緖	1	0.001	
3000459	普接	1	0.001	
3000460	曹自營	1	0.001	
3000461	曹夭壽	1	0.001	
3000462	曹威武臣	1	0.001	
3000463	曹靠北	1	0.001	
3000464	水原姬咲吉根	1	0.001	
3000465	季美梅	1	0.001	
3000466	嘶求	1	0.001	
3000467	讚惡魔	1	0.001	
3000468	大立綱	1	0.001	
3000469	唐琳	1	0.001	
3000470	讚貨	1	0.001	
3000471	黃志浩	1	0.001	
3000472	亲蜜	1	0.001	
3000473	美形版	1	0.001	
3000474	楊藹玲	1	0.001	
3000475	哥祖	1	0.001	
3000476	廣末正太太太多	1	0.001	
3000477	靠巴	1	0.001	
3000478	奶小版	1	0.001	
3000479	大爆牙	1	0.001	
3000480	土包子臉	1	0.001	
3000481	海報臉	1	0.001	
3000482	阿賴皮仔	1	0.001	
3000483	皮支	1	0.001	
3000484	裝犯	1	0.001	
3000485	狗簽	1	0.001	
3000486	樸善宇	1	0.001	
3000487	大象鼻	1	0.001	
3000488	真的正幾	1	0.001	
3000489	尊貴窩	1	0.001	
3000490	李美惠	1	0.001	
3000491	沙灘化	1	0.001	
3000492	爸昏	1	0.001	
3000493	熱浪球	1	0.001	
3000494	清凉	1	0.001	
3000495	竹竿系	1	0.001	
3000496	陳昕玥	1	0.001	
3000497	女性徵	1	0.001	
3000498	孟德超人	1	0.001	
3000499	孟德超	1	0.001	
3000500	大曹氏	1	0.001	
3000501	曹肉肉	1	0.001	
3000502	護貝卡飛龍	1	0.001	
3000503	趙敏婆	1	0.001	
3000504	田徑版	1	0.001	
3000505	韓正正	1	0.001	
3000506	阿馬姿	1	0.001	
3000507	拐手拐腳	1	0.001	
3000508	低配油	1	0.001	
3000509	香美猴	1	0.001	
3000510	郭婆	1	0.001	
3000511	耕本妻	1	0.001	
3000512	長澤新垣	1	0.001	
3000513	維臥曹	1	0.001	
3000514	開門君	1	0.001	
3000515	筱筑	1	0.001	
3000516	火雞表	1	0.001	
3000517	田淵正浩南	1	0.001	
3000518	大元滿	1	0.001	
3000519	喔五	1	0.001	
3000520	曹香	1	0.001	
3000521	曹推文	1	0.001	
3000522	風塵版	1	0.001	
3000523	桃金價耐	1	0.001	
3000524	卡麻煩	1	0.001	
3000525	三餐操	1	0.001	
3000526	正美尻	1	0.001	
3000527	雌墮長	1	0.001	
3000528	數打平	1	0.001	
3000529	爆棚人	1	0.001	
3000530	特業味	1	0.001	
3000531	國父幦	1	0.001	
3000532	游彤葳	1	0.001	
3000533	唐兩包	1	0.001	
3000534	門茜	1	0.001	
3000535	不是玩	1	0.001	
3000536	刺青系	1	0.001	
3000537	混血螺	1	0.001	
3000538	新城由衣	1	0.001	
3000539	映辰	1	0.001	
3000540	體育服葉	1	0.001	
3000541	廖蔚蔚	1	0.001	
3000542	天養士	1	0.001	
3000543	倫士	1	0.001	
3000544	熊有卿	1	0.001	
3000545	幹卿卿	1	0.001	
3000546	杯門	1	0.001	
3000547	坑乃團奶	1	0.001	
3000548	膠腿	1	0.001	
3000549	曾經到	1	0.001	
3000550	虎牙勾錐	1	0.001	
3000551	超級品	1	0.001	
3000552	大聲卡	1	0.001	
3000553	主報到	1	0.001	
3000554	大志旼	1	0.001	
3000555	噓老	1	0.001	
3000556	文婉姐	1	0.001	
3000557	隱形味	1	0.001	
3000558	不微不貧	1	0.001	
3000559	射樂	1	0.001	
3000560	小智孝	1	0.001	
3000561	煙槍雞	1	0.001	
3000562	質肉	1	0.001	
3000563	大嘎琳	1	0.001	
3000564	寬受不了	1	0.001	
3000565	乾叻	1	0.001	
3000566	陳苑婷	1	0.001	
3000567	阿魯巴哇	1	0.001	
3000568	布勞人	1	0.001	
3000569	大肌妹	1	0.001	
3000570	少榆	1	0.001	
3000571	葛葛格	1	0.001	
3000572	台味萬歲	1	0.001	
3000573	婆老寶	1	0.001	
3000574	婆老采寶	1	0.001	
3000575	泰文青	1	0.001	
3000576	倚天愛死	1	0.001	
3000577	三三三三萬	1	0.001	
3000578	輕熟版	1	0.001	
3000579	更棒佑之	1	0.001	
3000580	品棋力	1	0.001	
3000581	超美婆	1	0.001	
3000582	超仙某	1	0.001	
3000583	大大開心	1	0.001	
3000584	小正騷	1	0.001	
3000585	黃大楷	1	0.001	
3000586	設塞	1	0.001	
3000587	假體葉	1	0.001	
3000588	喔喔喔喔喔喔喔呵	1	0.001	
3000589	楊瑾華男	1	0.001	
3000590	肖多	1	0.001	
3000591	出眾微	1	0.001	
3000592	瀏海河貓	1	0.001	
3000593	優客李霖	1	0.001	
3000594	滾呱吉	1	0.001	
3000595	敲擊棒	1	0.001	
3000596	許仙六	1	0.001	
3000597	阿許皓鋐	1	0.001	
3000598	陸抖黎狸	1	0.001	
3000599	佩甄斎藤	1	0.001	
3000600	蘇膠日	1	0.001	
3000601	紅正臉	1	0.001	
3000602	營飬	1	0.001	
3000603	侖寶	1	0.001	
3000604	黑框鏡	1	0.001	
3000605	婦門	1	0.001	
3000606	陳美賢	1	0.001	
3000607	安風骨	1	0.001	
3000608	普塑	1	0.001	
3000609	塑里	1	0.001	
3000610	張齡予恩	1	0.001	
3000611	思恩兒	1	0.001	
3000612	袁超正	1	0.001	
3000613	黃奕清秀	1	0.001	
3000614	過門婆	1	0.001	
3000615	球條	1	0.001	
3000616	遺味	1	0.001	
3000617	正妹兵	1	0.001	
3000618	梗腿	1	0.001	
3000619	新竹梗	1	0.001	
3000620	人妻表	1	0.001	
3000621	彭彭柔柔	1	0.001	
3000622	臥蠶挺胸	1	0.001	
3000623	股土味	1	0.001	
3000624	華神人	1	0.001	
3000625	陈紫	1	0.001	
3000626	涼子式	1	0.001	
3000627	超門	1	0.001	
3000628	夢蘋	1	0.001	
3000629	櫻空推	1	0.001	
3000630	小巧靈瓏	1	0.001	
3000631	芝皓	1	0.001	
3000632	大柚	1	0.001	
3000633	持酒	1	0.001	
3000634	隨葬	1	0.001	
3000635	玉璜	1	0.001	
3000636	莫介推	1	0.001	
3000637	內田有紀嬸	1	0.001	
3000638	崇哥	1	0.001	
3000639	內田柏原	1	0.001	
3000640	後代神	1	0.001	
3000641	表尻版	1	0.001	
3000642	超能婦	1	0.001	
3000643	確實正正	1	0.001	
3000644	香女乃	1	0.001	
3000645	能力水	1	0.001	
3000646	鐵寶拉德寶拉	1	0.001	
3000647	觀世音道	1	0.001	
3000648	丸内未来	1	0.001	
3000649	超齡台	1	0.001	
3000650	普腋	1	0.001	
3000651	大麼	1	0.001	
3000652	捨推	1	0.001	
3000653	胸姬	1	0.001	
3000654	越看	1	0.001	
3000655	漂亮醬	1	0.001	
3000656	香佳儀香	1	0.001	
3000657	球杆長	1	0.001	
3000658	人妖類	1	0.001	
3000659	孟德媽	1	0.001	
3000660	張宇超	1	0.001	
3000661	關羽操	1	0.001	
3000662	正鼻女	1	0.001	
3000663	高國臉	1	0.001	
3000664	俊勒	1	0.001	
3000665	黑丰	1	0.001	
3000666	骷顱皮	1	0.001	
3000667	黑息	1	0.001	
3000668	正蠻	1	0.001	
3000669	神墨鏡	1	0.001	
3000670	肥婆男	1	0.001	
3000671	奶姨	1	0.001	
3000672	姨嬸嬸	1	0.001	
3000673	垂正	1	0.001	
3000674	美樂芙	1	0.001	
3000675	黑髮瑜	1	0.001	
3000676	婆貧乳	1	0.001	
3000677	變蛋皮	1	0.001	
3000678	性梨	1	0.001	
3000679	唄姬門	1	0.001	
3000680	李求門	1	0.001	
3000681	神粒	1	0.001	
3000682	張凱潔	1	0.001	
3000683	好東雲	1	0.001	
3000684	柔柚	1	0.001	
3000685	椰果清原	1	0.001	
3000686	椰果清	1	0.001	
3000687	宇智波喵	1	0.001	
3000688	油糠	1	0.001	
3000689	噴泉哥	1	0.001	
3000690	奧溼卡	1	0.001	
3000691	搖騎	1	0.001	
3000692	雷姆斯汀耶	1	0.001	
3000693	箴言樓	1	0.001	
3000694	奶樓圖	1	0.001	
3000695	岔氣樓	1	0.001	
3000696	泉田	1	0.001	
3000697	姨內	1	0.001	
3000698	肉芽臉	1	0.001	
3000699	高管輩	1	0.001	
3000700	棕瑞	1	0.001	
3000701	水中央	1	0.001	
3000702	劍戲	1	0.001	
3000703	霸王叉	1	0.001	
3000704	太順樓	1	0.001	
3000705	正優求	1	0.001	
3000706	傻眼妹	1	0.001	
3000707	刺草	1	0.001	
3000708	滴圓圓	1	0.001	
3000709	佛尺杯	1	0.001	
3000710	拂佛	1	0.001	
3000711	色我	1	0.001	
3000712	桃花痣	1	0.001	
3000713	豪大亦伸	1	0.001	
3000714	衍熾會	1	0.001	
3000715	美優紀	1	0.001	
3000716	路姬	1	0.001	
3000717	香球網	1	0.001	
3000718	王子寧	1	0.001	
3000719	勃肯區	1	0.001	
3000720	賴清德功	1	0.001	
3000721	沙贊成	1	0.001	
3000722	狐狸包乾	1	0.001	
3000723	大丈母	1	0.001	
3000724	薯文	1	0.001	
3000725	嚇薯人	1	0.001	
3000726	貓梗圖	1	0.001	
3000727	奶秋	1	0.001	
3000728	忙內真香	1	0.001	
3000729	裡頭髮	1	0.001	
3000730	忙內好美	1	0.001	
3000731	門棒	1	0.001	
3000732	正陰	1	0.001	
3000733	企劃片	1	0.001	
3000734	小多綠	1	0.001	
3000735	阿芙羅	1	0.001	
3000736	白正大	1	0.001	
3000737	回甘江國賓	1	0.001	
3000738	田麗郁方	1	0.001	
3000739	勾遠勝	1	0.001	
3000740	暗黑藏	1	0.001	
3000741	驚隱	1	0.001	
3000742	曾子綾	1	0.001	
3000743	季念潔	1	0.001	
3000744	周孟萱	1	0.001	
3000745	白洋魯	1	0.001	
3000746	巫某	1	0.001	
3000747	骷髏張	1	0.001	
3000748	排骨求門	1	0.001	
3000749	曹蛙	1	0.001	
3000750	卡題諾	1	0.001	
3000751	殘編	1	0.001	
3000752	珍珍腿	1	0.001	
3000753	藍綾	1	0.001	
3000754	真候	1	0.001	
3000755	黑累	1	0.001	
3000756	傅月池	1	0.001	
3000757	大加哥	1	0.001	
3000758	海德里安	1	0.001	
3000759	射列	1	0.001	
3000760	老讞	1	0.001	
3000761	飽妮貨	1	0.001	
3000762	尋寶網	1	0.001	
3000763	頂正	1	0.001	
